platform,search_keyword,username,content,timestamp,likes,retweets,scraped_at,scraper_version,target_keyword,extraction_date,session_duration,scroll_attempts
twitter,MBG,cho,"Melalui sosialisasi MBG di Bekasi, pemerintah menegaskan komitmen untuk menekan stunting dan memperkuat kualitas SDM. Program Makan Bergizi Gratis ini menjadi langkah strategis untuk meningkatkan kesehatan serta kecerdasan generasi penerus.",2025-11-16T03:50:33.000Z,0,0,2025-11-16T13:31:44.470381,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,coklat,Biasa belum dapat mbg jadi gitu,2025-11-16T03:49:56.000Z,0,0,2025-11-16T13:31:44.604358,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Titisan Ultraman Nyinyir,Pendistribusian MBG untuk menjangkau generasi bangsa di pelosok negeri membutuhkan perjalanan yg tidak mudah setiap harinya. Semua ini dilakukan demi menuju Indonesia emas.,2025-11-16T03:46:26.000Z,1,0,2025-11-16T13:31:52.377768,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Tarra,"Program MBG di SPPG Angsau Dua kini semakin menunjukkan dampak nyata. Dengan capaian maksimal 3.570 porsi makanan bergizi setiap hari untuk 21 sekolah, Polres Tanah Laut bersama relawan berhasil menghadirkan perubahan besar bagi anak-anak di daerah.",2025-11-16T03:46:10.000Z,0,0,2025-11-16T13:31:52.505640,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,fathan,"Dengan beroperasinya lebih dari 14.773 SPPG, kebutuhan bahan pangan terus meningkat.
Pokja Pasokan Bahan Pangan dibentuk untuk menjaga stabilitas inflasi dan ketersediaan pangan bagi masyarakat.
#ProgramMBG #MBG",2025-11-16T03:46:10.000Z,0,0,2025-11-16T13:31:52.641121,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,fathan,"Sosialisasi MBG di Bekasi menegaskan komitmen pemerintah dalam menurunkan stunting dan memperkuat kualitas SDM.
Generasi sehat, generasi cerdas! 
#MBG #Bekasi #CegahStunting",2025-11-16T03:45:19.000Z,0,0,2025-11-16T13:31:52.779376,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,4DELLIAAAA,MBG Polres Tala,2025-11-16T03:45:04.000Z,0,0,2025-11-16T13:31:52.910926,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,4DELLIAAAA,Program MBG di Bekasi,2025-11-16T03:44:16.000Z,0,0,2025-11-16T13:31:53.054682,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,ADINDA_NAMAKU,"dan Struktur Koordinasi Nasional (5 Pokja) ini bukan sekadar berita, tapi studi kasus tentang Gap Kebijakan Publik.
Program MBG adalah komitmen noble untuk SDM. Namun, keberhasilannya akan diuji, bukan oleh banyaknya press release atau",2025-11-16T03:44:09.000Z,0,0,2025-11-16T13:31:53.182924,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,ADINDA_NAMAKU,"Analisis Tiga Dimensi Program MBG: Antara Komitmen, Birokrasi, dan Realita Lapangan

Program Makanan Bergizi Gratis (MBG) kini menjadi headline kebijakan sosial yang masif, terlihat dari tiga angle yang kita telaah: Implementasi Lokal (Polres Tala & Bekasi)",2025-11-16T03:44:08.000Z,0,0,2025-11-16T13:31:53.295765,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Sh_yaanto,"Koordinasi lintas kementerian membentuk 5 Pokja MBG untuk memperkuat pasokan pangan, keamanan gizi, dan peran daerah.
Upaya ini memastikan program MBG berjalan optimal di seluruh pelosok. 
#MBG",2025-11-16T03:43:41.000Z,0,0,2025-11-16T13:31:53.401973,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Sh_yaanto,"SPPG Angsau Dua milik Polres Tala kini capai produksi maksimal 3.570 porsi MBG untuk 21 sekolah!
Kerja keras relawan & dapur bergizi ini jadi bukti nyata kepedulian terhadap kesehatan anak-anak kita.
#MBG",2025-11-16T03:43:28.000Z,0,0,2025-11-16T13:31:53.502618,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,odejale,"Serta para kurir lapangan yang mengantar makanan hangat sampai ke sekolah-sekolah tanpa mengenal cuaca. Mereka inilah ujung tombak MBG—bekerja senyap, tapi berdampak besar bagi masa depan anak-anak Indonesia.",2025-11-16T03:43:21.000Z,1,0,2025-11-16T13:31:53.604221,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,H,"MBG harus di audit secara rutin,
Dari 15.000 (contoh) per hari per anak
Apakah ada (berapa) yang masuk yayasan.?

Berapa untuk Gaji kepala dapur, ahli gizi,akuntan, staf ahli dll, ,Sewa dan bangun dapur, Listrik, fee mediator (kalo ada)

Berapa untuk makanan.?",2025-11-16T03:37:56.000Z,0,0,2025-11-16T13:32:02.996651,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Djatmika,"Bayangkan kalau dana MBG untuk memperbaiki gaji guru dan upgrade guru,  nggak sampai 5 tahun pasti sudah kelihatan hasilnya.",2025-11-16T03:37:21.000Z,1,0,2025-11-16T13:32:03.213687,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Aprilia,"Sosialisasi MBG di Bekasi menegaskan komitmen bersama untuk menurunkan stunting dan memperkuat SDM. 

Warga dibekali pengetahuan praktis soal pencegahan stunting, pemenuhan gizi, dan kebiasaan sehat. 
Program ini juga memperkuat kapasitas kader serta tenaga kesehatan agar Bekasi",2025-11-16T03:37:13.000Z,0,0,2025-11-16T13:32:03.355925,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,momysweety,"SPPG Angsau Dua milik Polres Tanah Laut kembali menunjukkan dedikasi terbaiknya. Dengan kerja disiplin dari dapur hingga distribusi, mereka berhasil mencapai maksimal 3.570 porsi MBG setiap harinya. Sebuah capaian besar yang tak hanya menunjukkan kapasitas, tetapi juga komitmen",2025-11-16T03:36:30.000Z,0,0,2025-11-16T13:32:03.496457,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Adran,"Ketua Pelaksana Harian Tim Koordinasi MBG, Nanik Sudaryati, menjelaskan bahwa pembentukan 5 Kelompok Kerja (Pokja) adalah kunci penyelesaian persoalan yang berkaitan dengan penyelenggaraan MBG secara terintegrasi.",2025-11-16T03:36:27.000Z,0,0,2025-11-16T13:32:03.645182,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,BOIM AZZA,"Karena di rumah biasanya makan sama tempe, ketika di kasih mbg anaku tidak mau...",2025-11-16T03:36:20.000Z,0,0,2025-11-16T13:32:03.799082,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Charity_adhwa,Sosialisasi MBG di Bekasi menegaskan komitmen pemerintah menekan stunting dan meningkatkan kualitas SDM. Program makan bergizi gratis ini menjadi langkah nyata untuk menghadirkan generasi yang lebih sehat dan cerdas.,2025-11-16T03:36:13.000Z,0,0,2025-11-16T13:32:03.926659,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Adran,"Ade Tias Maulana di Sosialisasi MBG di Bekasi: Program Makan Bergizi Gratis (MBG) bukan hanya soal pemberian makan, tetapi merupakan komitmen fundamental pemerintah untuk meningkatkan kesehatan dan kecerdasan anak-anak Indonesia.",2025-11-16T03:36:11.000Z,0,0,2025-11-16T13:32:04.064760,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Andraa,"Program MBG melibatkan Tim Koordinasi Lintas Kementerian/Lembaga yang membentuk 5 Kelompok Kerja (Pokja) utama, demi memastikan pelaksanaannya berjalan efektif dan terintegrasi.",2025-11-16T03:35:57.000Z,0,0,2025-11-16T13:32:04.198780,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,@NalarJernih," Tim Koordinasi MBG & 5 Pokja: Seriously, Apakah Ini Cuma Meeting Elit di Ruang AC? 

Waduh, kali ini beritanya agak berat, guys. Ini tentang Tim Koordinasi Lintas Kementerian/Lembaga yang fokus ke Program Makanan Bergizi (MBG).",2025-11-16T03:35:44.000Z,0,0,2025-11-16T13:32:04.340638,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,clovis,"Makan bergizi bukan cuma soal kenyang, tapi juga tentang masa depan bangsa. MBG ngerti banget makna itu.",2025-11-16T03:35:43.000Z,0,0,2025-11-16T13:32:04.465906,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
